,,,,,,,,,,,,,,,,,,,
P0001,【七月】鋼琴 - 平日班,Product_20200423164200.jpg,8000,2,8H,【七月】鋼琴 - 平日班,C,01,NULL,2020-03-03 14:18:46,2020-03-04 14:18:46,,,,,,,,
P0002,【八月】鋼琴 - 平日班,Product_20200423164201.jpg,8000,2,8H,【八月】鋼琴 - 平日班,C,01,NULL,2020-03-04 14:18:46,2020-03-05 14:18:46,,,,,,,,
P0003,【九月】鋼琴 - 平日班,Product_20200423164202.jpg,8000,2,8H,【九月】鋼琴 - 平日班,C,01,NULL,2020-03-05 14:18:46,2020-03-06 14:18:46,,,,,,,,
P0004,【十月】鋼琴 - 平日班,Product_20200423164203.jpg,8000,2,8H,【十月】鋼琴 - 平日班,C,01,NULL,2020-03-06 14:18:46,2020-03-07 14:18:46,,,,,,,,
P0005,【十一月】鋼琴 - 平日班,Product_20200423164204.jpg,8000,2,8H,【十一月】鋼琴 - 平日班,C,01,NULL,2020-03-07 14:18:46,2020-03-08 14:18:46,,,,,,,,
P0006,【十二月】鋼琴 - 平日班,Product_20200423164205.jpg,8000,2,8H,【十二月】鋼琴 - 平日班,C,01,NULL,2020-03-08 14:18:46,2020-03-09 14:18:46,,,,,,,,
P0007,【七月】電子琴 - 平日班,Product_20200423164206.jpg,5000,10,8H,【七月】電子琴 - 平日班,C,02,NULL,2020-03-09 14:18:46,2020-03-10 14:18:46,,,,,,,,
P0008,【八月】電子琴 - 平日班,Product_20200423164207.jpg,5000,10,8H,【八月】電子琴 - 平日班,C,02,NULL,2020-03-10 14:18:46,2020-03-11 14:18:46,,,,,,,,
P0009,【九月】電子琴 - 平日班,Product_20200423164208.jpg,5000,10,8H,【九月】電子琴 - 平日班,C,02,NULL,2020-03-11 14:18:46,2020-03-12 14:18:46,,,,,,,,
P0010,【十月】電子琴 - 平日班,Product_20200423164209.jpg,5000,10,8H,【十月】電子琴 - 平日班,C,02,NULL,2020-03-12 14:18:46,2020-03-13 14:18:46,,,,,,,,
P0011,【十一月】電子琴 - 平日班,Product_20200423164210.jpg,5000,10,8H,【十一月】電子琴 - 平日班,C,02,NULL,2020-03-13 14:18:46,2020-03-14 14:18:46,,,,,,,,
P0012,【十二月】電子琴 - 平日班,Product_20200423164211.jpg,5000,10,8H,【十二月】電子琴 - 平日班,C,02,NULL,2020-03-14 14:18:46,2020-03-15 14:18:46,,,,,,,,
P0013,【七月】小提琴 - 平日班,Product_20200423164212.jpg,8000,10,8H,【七月】小提琴 - 平日班,C,03,NULL,2020-03-15 14:18:46,2020-03-16 14:18:46,,,,,,,,
P0014,【八月】小提琴 - 平日班,Product_20200423164213.jpg,8000,10,8H,【八月】小提琴 - 平日班,C,03,NULL,2020-03-16 14:18:46,2020-03-17 14:18:46,,,,,,,,
P0015,【九月】小提琴 - 平日班,Product_20200423164214.jpg,8000,10,8H,【九月】小提琴 - 平日班,C,03,NULL,2020-03-17 14:18:46,2020-03-18 14:18:46,,,,,,,,
P0016,【十月】小提琴 - 平日班,Product_20200423164215.jpg,8000,10,8H,【十月】小提琴 - 平日班,C,03,NULL,2020-03-18 14:18:46,2020-03-19 14:18:46,,,,,,,,
P0017,【十一月】小提琴 - 平日班,Product_20200423164216.jpg,8000,10,8H,【十一月】小提琴 - 平日班,C,03,NULL,2020-03-19 14:18:46,2020-03-20 14:18:46,,,,,,,,
P0018,【十二月】小提琴 - 平日班,Product_20200423164217.jpg,8000,10,8H,【十二月】小提琴 - 平日班,C,03,NULL,2020-03-20 14:18:46,2020-03-21 14:18:46,,,,,,,,
P0019,【七月】中提琴 - 平日班,Product_20200423164218.jpg,7000,5,8H,【七月】中提琴 - 平日班,C,04,NULL,2020-03-21 14:18:46,2020-03-22 14:18:46,,,,,,,,
P0020,【八月】中提琴 - 平日班,Product_20200423164219.jpg,7000,5,8H,【八月】中提琴 - 平日班,C,04,NULL,2020-03-22 14:18:46,2020-03-23 14:18:46,,,,,,,,
P0021,【九月】中提琴 - 平日班,Product_20200423164220.jpg,7000,5,8H,【九月】中提琴 - 平日班,C,04,NULL,2020-03-23 14:18:46,2020-03-24 14:18:46,,,,,,,,
P0022,【十月】中提琴 - 平日班,Product_20200423164221.jpg,7000,5,8H,【十月】中提琴 - 平日班,C,04,NULL,2020-03-24 14:18:46,2020-03-25 14:18:46,,,,,,,,
P0023,【十一月】中提琴 - 平日班,Product_20200423164222.jpg,7000,5,8H,【十一月】中提琴 - 平日班,C,04,NULL,2020-03-25 14:18:46,2020-03-26 14:18:46,,,,,,,,
